: 1585658952:0;gem install lscolors
: 1585932388:0;v vendor
: 1585933061:0;rm -Rf shadow_chaser
: 1585933464:0;kill -9 40138
: 1585933475:0;kill -9 40974
: 1585933485:0;kill -9 8989
: 1586010861:0;gem uninstall pry*
: 1586010867:0;gem uninstall pry
: 1586097153:0;find ~/.rbenv
: 1586097383:0;h G pry
: 1586097437:0;h G mech
: 1586097745:0;cat .local
: 1586097901:0;cat zsh_history
: 1586098549:0;rails new game
: 1586098696:0;rails g scaffold Article title:string
: 1586099756:0;gem uninstall rails -v 5.2.1
: 1586099999:0;gem cleanup --dryrun
: 1586100009:0;gem cleanup
: 1586100051:0;gem uninstall actionpack -v 5.2.1
: 1586100077:0;gem uninstall actionview -v 5.2.1
: 1586100094:0;gem uninstall activemodel -v 5.2.1
: 1586100110:0;gem uninstall activesupport -v 5.2.1
: 1586100308:0;rails new hold
: 1586101691:0;rails new mind
: 1586101874:0;rails _6.0.0_ new love
: 1586170737:0;dscl . list /Users | grep -v â€ƒ¼^_â€ƒ½
: 1586170759:0;dscl . list /Users | grep -v '^_'
: 1586191786:0;find . iCloud\ Drive\ \(Archive\)
: 1586191852:0;rm -Rf iCloud\ Drive\ \(Archive\)
: 1586192207:0;v classes-youtube-filter.rb
: 1586192910:0;gem install rails -v 5.2.1
: 1586193751:0;/var/folders/b5/kql5whjx1hq4hv68dn12nl2c0000gn/T/ruby-build.20200406181817.33635.JCrv8q
: 1586193927:0;rbenv install 2.3.7
: 1586194294:0;/var/folders/b5/kql5whjx1hq4hv68dn12nl2c0000gn/T/ruby-build.20200406182528.50895.rgyr8W
: 1586194321:0;rm -Rf ruby-build*
: 1586209667:0;rbenv install 2.5.0
: 1586209892:0;rbenv local 2.5.0
: 1586210192:0;gem help
: 1586210566:0;rails _6.0.0_ new combat
: 1586210695:0;gem install rails -v 5.2.4.2
: 1586210843:0;rails _5.2.4.2_ new combat
: 1586211066:0;kill -9 6814 '\
\
'
: 1586211138:0;kill -9 7270
: 1586211261:0;kill -9 7226
: 1586211270:0;kill -9 7532
: 1586211278:0;kill -9 7485
: 1586211919:0;kill -9 8092
: 1586211924:0;kill -9 8070
: 1586212407:0;rm -Rf combat
: 1586212787:0;rbenv --versions
: 1586349937:0;quote in my home
: 1586350992:0;echo ENV['home']
: 1586351010:0;echo $ENV['home']
: 1586351029:0;echo $ENV['HOME']
: 1586351283:0;kill -9 10560
: 1586695050:0;kill -9 15242
: 1586796498:0;cat .rbenv
: 1586796507:0;find .rbenv
: 1586797004:0;v archfoe.txt
: 1586797013:0;rm archfoe.txt
: 1587221722:0;v ~/.dotfiles/pryrc
: 1587223382:0;find . -file spec_helper.rb
: 1587223388:0;find . --file spec_helper.rb
: 1587223392:0;find . --f spec_helper.rb
: 1587223944:0;kill -9 20329
: 1587223953:0;kill -9 20302
: 1587223958:0;kill -9 20368
: 1587228407:0;rails _5.2.4.2_ new serial
: 1587229028:0;v boot.rb
: 1587229068:0;v spring.rb
: 1587229378:0;/Users/shadowchaser/Code/Ruby/Projects/serial/vendor/bundle/ruby/2.5.0/gems/spring-2.1.0/lib/spring/
: 1587229592:0;rm -Rf serial
: 1587252913:0;kill -9 20474
: 1587252920:0;kill -9 37236
: 1587554834:0;brew search youtube-dl
: 1587554850:0;brew install youtube-dl
: 1587554936:0;youtube-dl --write-auto-sub --sub-format best --sub-lang en --skip-download "https://www.youtube.com/watch?v=SwXS-ZYL3Lc&list=TLPQMjIwNDIwMjBPZYsh3dtggw&index=4"
: 1587555431:0;The\ Rise\ and\ Fall\ of\ AMC\ Theaters\ -\ The\ Corporate\ Reasons\ Behind\ The\ Collapse-SwXS-ZYL3Lc.en.vtt
: 1587555516:0;d The\ Rise\ and\ Fall\ of\ AMC\ Theaters\ -\ The\ Corporate\ Reasons\ Behind\ The\ Collapse-SwXS-ZYL3Lc.en.vtt
: 1587555638:0;sort The\ Rise\ and\ Fall\ of\ AMC\ Theaters\ -\ The\ Corporate\ Reasons\ Behind\ The\ Collapse-SwXS-ZYL3Lc.en.vtt | uniq -u
: 1587555663:0;v The\ Rise\ and\ Fall\ of\ AMC\ Theaters\ -\ The\ Corporate\ Reasons\ Behind\ The\ Collapse-SwXS-ZYL3Lc.en.vtt
: 1587555746:0;perl -ne 'print if ++$k{$_}==1' The\ Rise\ and\ Fall\ of\ AMC\ Theaters\ -\ The\ Corporate\ Reasons\ Behind\ The\ Collapse-SwXS-ZYL3Lc.en.vtt
: 1587555765:0;perl -ne 'print if ++$k{$_}==1' The\ Rise\ and\ Fall\ of\ AMC\ Theaters\ -\ The\ Corporate\ Reasons\ Behind\ The\ Collapse-SwXS-ZYL3Lc.en.vtt >>new.txt
: 1587555768:0;v new.txt
: 1587558345:0;v The\ language\ of\ lying\ â€ƒ´\ Noah\ Zandan-H0-WkpmTPrM.info.json
: 1587559040:0;find .local
: 1587559047:0;find .cache
: 1587559189:0;rm The\ Rise\ and\ Fall\ of\ AMC\ Theaters\ -\ The\ Corporate\ Reasons\ Behind\ The\ Collapse.en.vtt
: 1587561259:0;youtube-dl --write-auto-sub --sub-format best --sub-lang en --skip-download "https://www.youtube.com/watch?v=SwXS-ZYL3Lc"
: 1587561567:0;rm The\ Rise\ and\ Fall\ of\ AMC\ Theaters\ -\ The\ Corporate\ Reasons\ Behind\ The\ Collapse
: 1587561572:0;rm -Rf The\ Rise\ and\ Fall\ of\ AMC\ Theaters\ -\ The\ Corporate\ Reasons\ Behind\ The\ Collapse
: 1587564721:0;v subtitles.txt
: 1587564976:0;rm -Rf Inside\ the\ mind\ of\ a\ master\ procrastinator\ _\ Tim\ Urban
: 1587564981:0;rm -Rf The\ language\ of\ lying\ â€ƒ´\ Noah\ Zandan
: 1587564991:0;rm subtitles.txt
: 1587569659:0;git cm "NEW: subs script - check subs as watching vids"
: 1587569746:0;git cm "CATCH UP: small changes"
: 1587569749:0;git push]
: 1587569766:0;git co 78eebd7
: 1587569967:0;git co 8a62407
: 1587569990:0;v build-subtitles.rb
: 1587570019:0;v build-categories.rb
: 1587574990:0;ruby subs.rb
: 1587575551:0;git cm "UPDATE: subs script"
: 1587596669:0;words = clean_file.uniq.join.split(" ")
: 1587597603:0;git acm
: 1587598093:0;git acm "CORRECTION: fuck you twats"
: 1587649084:0;gem list G mech
: 1587655939:0;kill -9 77766
: 1587655945:0;kill -9 77874
: 1587656303:0;v charlie.txt
: 1587656446:0;v whit.txt
: 1587659826:0;mv charlie.txt charlie
: 1587659837:0;mv whit.txt whit
: 1587661957:0;v none
: 1587663364:0;kill -9 79848
: 1587677541:0;kill -9 79956
: 1587677548:0;kill -9 80492
: 1587685819:0;v jenna
: 1587717471:0;kill -9 81582
: 1587717477:0;kill -9 81738
: 1587730596:0;git acm "UPDATE: finished and working, needs to have a remove pre running, try's looked at"
: 1587734035:0;kill -9 85521
: 1587764844:0;find .config
: 1587766991:0;git acm "UPDATE: small tidying up."
: 1587821379:0;git acm "BACKING UP: problems with writing to file the count within the paragraphs"
: 1587824156:0;git cb refactor
: 1587824165:0;git cob refactor
: 1587824208:0;git acm "PRE BRANCH: removeing and refactoring "
: 1587824227:0;git co refactor
: 1587835313:0;git acm "REFACTORING: removing clutter, fixed write to file."
: 1587844535:0;v brian
: 1587856500:0;:wq
: 1587912833:0;git acm "CATCH UP: refactoring some of the devision"
: 1587912878:0;u + x subs.rb
: 1587912892:0;chmod u+x subs.rb
: 1587930358:0;v bad_words
: 1587936174:0;v remove_words
: 1587939003:0;cat white_list
: 1587939008:0;rm white_list
: 1587939027:0;cat remove_words
: 1587939332:0;vcdr
: 1587981091:0;\subs
: 1587994311:0;git acm "UPDATE: probably needs full re-write. finished as is."
: 1587994319:0;git push -u origin refactor
: 1587996500:0;git cm "MERGE: branches"
: 1587996519:0;git merge refactor
: 1588027562:0;mv theme/ ~/Downloads/Youtube_Subtitles
: 1588027585:0;mv theme Data
: 1588027626:0;mkdir people
: 1588027662:0;find type -f
: 1588027667:0;find -type -f
: 1588027743:0;find data -type f
: 1588027780:0;find ~/Downloads/Youtube_Subtitles/Data -type f
: 1588027865:0;find ~/Downloads/Youtube_Subtitles/Data -type f -maxdepth 1
: 1588029510:0;chea
: 1588085990:0;cat whit
: 1588085997:0;cat jenna
: 1588094726:0;mv cars OLDPWD/cars
: 1588094740:0;mv cars $OLDPWD/cars
: 1588094751:0;mv cars $OLDPWD/countries
: 1588094771:0;mv countries $OLDPWD/countries
: 1588094784:0;find. names
: 1588094788:0;find . names
: 1588094947:0;mv boys $OLDPWD/
: 1588094953:0;mv girls $OLDPWD/
: 1588094962:0;mv countries $OLDPWD/
: 1588094969:0;mv cars $OLDPWD/
: 1588095162:0;mv first_person $OLDPWD/
: 1588095175:0;mv second_person $OLDPWD/
: 1588095187:0;mv third_person $OLDPWD
: 1588095211:0;cat male
: 1588095217:0;cat female
: 1588095227:0;cat none_gender
: 1588095256:0;mv female $OLDPWD/
: 1588095263:0;mv male $OLDPWD/
: 1588095272:0;mv none_gender $OLDPWD/
: 1588108441:0;v charlie
: 1588109690:0;git acm "UPDATED: add a persons target words, returns a 100 word paragraph, counts the words and adds to the word additinal info"
: 1588151935:0;mv frequency adverb-frequency
: 1588151952:0;mv manner adverb-manner
: 1588152000:0;mv place adverb-place
: 1588152038:0;mv here adverb-prefix-here
: 1588152056:0;mv in adverb-prefix-in
: 1588152079:0;mv there adverb-prefix-there
: 1588152107:0;mv adverb-prefix-here $OLDPWD/
: 1588152119:0;mv adverb-prefix-in $OLDPWD/
: 1588152144:0;mv adverb-prefix-there $OLDPWD/
: 1588152167:0;rm -Rf prefix
: 1588152173:0;rm -Rf suffix
: 1588152460:0;mv coordinating conjunction-coordinating
: 1588152487:0;mv subordinating conjunction-subordinating
: 1588152731:0;mv demonstrative pronoun-demonstrative
: 1588152762:0;mv indefinite pronoun-indefinite
: 1588152782:0;mv reflexive pronoun-reflexive
: 1588152806:0;mv unclassified pronoun-unclassified
: 1588152824:0;mv relative pronoun-relative
: 1588152841:0;mv possessive pronoun-possessive
: 1588152859:0;mv interrogative pronoun-interrogative
: 1588162621:0;v female
: 1588162907:0;f it's\
!\
'
: 1588162918:0;f "it's"
: 1588162959:0;find.
: 1588162973:0;cat action
: 1588162976:0;cat helping
: 1588162980:0;cat intransitive
: 1588162985:0;cat irregular
: 1588162999:0;v irregular
: 1588163028:0;v linking
: 1588163032:0;v regular
: 1588163041:0;v transitive
: 1588163051:0;v ate
: 1588163125:0;v girls
: 1588163315:0;vimdiff boys girls
: 1588168468:0;v boys
: 1588171678:0;mv girls girls_names
: 1588171690:0;mv boys boys_names
: 1588172463:0;v vision
: 1588172496:0;visual
: 1588173010:0;f con
: 1588173035:0;find . -name con*
: 1588173047:0;find . -name conjunction
: 1588173052:0;find . -name conjunction*
: 1588173059:0;find . -name conjunction.*
: 1588173130:0;v conjunction-adverb
: 1588173426:0;find . G rel
: 1588173441:0;v pronoun-relative
: 1588173473:0;find . G uncl
: 1588173487:0;v pronoun-unclassified
: 1588173547:0;find . G comp
: 1588173556:0;find . G desc
: 1588173732:0;v adjective-descriptive
: 1588173823:0;v comparative
: 1588173879:0;v posative
: 1588173900:0;v superlative
: 1588174100:0;v kinesthetic
: 1588174383:0;v adverb-prefix-here
: 1588174433:0;v adverb-prefix-there
: 1588174468:0;kill -9 20186
: 1588174477:0;kill -9 20167
: 1588174483:0;kill -9 20193
: 1588174539:0;v compound
: 1588174838:0;v limiting-possessive
: 1588174889:0;v limiting-interrogative
: 1588174926:0;v limiting-distributive
: 1588174968:0;v limiting-demonstrative
: 1588175037:0;v limiting-definite_and_indefinate
: 1588175320:0;f going
: 1588176985:0;git acm "FIRST DRAFT: complete"
: 1588192962:0;git acm "CHANGE: removed the loop on the two people and data filepaths and used map to change perminantly the array."
: 1588198860:0;git cm "REFACTORING: removed dup of remove and changed for directory remove"
: 1588241003:0;git acm "COMPLETE: need to look at adding a database."
: 1588248560:0;mv subs.rb $OLDPWD/
: 1588249504:0;git cm "ADDED: subtitles directory and readme"
: 1588249823:0;es
: 1588276861:0;rm morph.txt
: 1588277535:0;v pry_history
: 1588278130:0;gem install pry-doc
: 1588278389:0;gem list G awesome_print
: 1588279053:0;kill -9 28214
: 1588279058:0;kill -9 28094
: 1588279063:0;kill -9 28114
: 1588279287:0;gem install pry-rescue
: 1588279310:0;rescue subs
: 1588279501:0;rescue subs.rb
: 1588279620:0;gem uninstall pry-rescue
: 1588333146:0;rm do.txt
: 1588335297:0;git cm "DAILY CATCH UP\
"
: 1588362185:0;mkd personality
: 1588363106:0;mamorie.md
: 1588363696:0;v m.md
: 1588370661:0;v preposition
: 1588371756:0;v track_three_letter_words
: 1588417599:0;mkd Filter
: 1588417659:0;v words
: 1588418292:0;v pronoun-possessive
: 1588418307:0;v me
: 1588418361:0;v you
: 1588418423:0;vimdiff me you
: 1588418442:0;rm words
: 1588424518:0;f . G grace
: 1588431885:0;f in
: 1588432817:0;vimdiff grace mamorie
: 1588434934:0;v mamorie.md
: 1588435098:0;cat m.md
: 1588435114:0;cat m.md L
: 1588435209:0;v russel.md
: 1588447684:0;cat grace
: 1588447688:0;cat grace.md
: 1588447722:0;cat russel.md
: 1588447737:0;cat mamorie.md
: 1588452072:0;v grace.md
: 1588453386:0;CDR
: 1588453388:0;dr
: 1588459173:0;v profane
: 1588519303:0;git cm "ADDED: swearing section. refactored the tags and changed to a small method for removing."
: 1588519315:0;git h
: 1588598529:0;git cm "ROLLING"
: 1588598610:0;git co 62761b7
: 1588598648:0;git switch -c rollback
: 1588720444:0;i
: 1589030581:0;youtube-dl "https://www.youtube.com/watch?v=Fo3hQFAFVuo"
: 1589030652:0;play How\ to\ Change\ a\ Normal\ Light\ Switch\ to\ a\ Dimmer\ Switch.mp4
: 1589030681:0;open How\ to\ Change\ a\ Normal\ Light\ Switch\ to\ a\ Dimmer\ Switch.mp4
: 1589042558:0;mv How\ to\ Change\ a\ Normal\ Light\ Switch\ to\ a\ Dimmer\ Switch ~/Downloads
: 1589231819:0;kill -9 55355
: 1589408714:0;v ultisnips
: 1589501698:0;display_dir
: 1589501856:0;dirs=(1 2 3)
: 1589501858:0;$dirs=(1 2 3)
: 1589501915:0;echo $dirs[2]
: 1590090130:0;cat amboy.txt
: 1590092666:0;v .dotfiles
: 1590148085:0;rm amboy.txt
: 1590327826:0;kill -9 3209
: 1590327831:0;kill -9 3260
: 1590333754:0;git cm "adding a new routine to find sentences"
: 1590333800:0;git push -u origin rollback
: 1590333880:0;git merge rollback
: 1590334157:0;git acm "merge"
: 1590334293:0;https://www.youtube.com/watch?v=XtASPBORwQk
: 1590334338:0;git branches
: 1590334585:0;git acm "merge: bit of conflict."
: 1590343741:0;git acm "started a new routine, needs rethinking"
: 1590383732:0;git acm "Working: idea works needs adding to a collection as a tupal maybe or somthing to store the found results"
: 1590449959:0;git acm "WORKING: all sentences found, still have to write to file"
: 1590451631:0;v target_words
: 1590451750:0;v zoey
: 1590457444:0;git acm "ADDED: json files for persons all need changing. each file now contains words: and sentences: still not written to file"
: 1590457916:0;v whit
: 1590458203:0;v ssniper
: 1590458596:0;v julian
: 1590502726:0;git acm "Writes to file. finds the search term and writes to file."
: 1590502750:0;git head
: 1590502762:0;git first
: 1590504135:0;kill -9 14159
: 1590504142:0;kill -9 14217
: 1590504147:0;kill -9 14796
: 1590522961:0;kill -9 15197
: 1590522966:0;kill -9 15223
: 1590522971:0;kill -9 15327
: 1590522975:0;kill -9 15380
: 1590522983:0;kill -9 15437
: 1590528479:0;kill -9 16125
: 1590528560:0;https://www.youtube.com/watch?v=BBcQF2IKBVw
: 1590529428:0;v allie
: 1590531877:0;v mamorie
: 1590533680:0;v classes.rb
: 1590533871:0;mv classes.rb sub_classes.rb
: 1590534895:0;git acm "ADDED: split the classes into a different file and use realtive_require to require."
: 1590539852:0;kill -9 16979
: 1590539857:0;kill -9 17023
: 1590542668:0;git acm "Vimrc: updated, subs small refactor"
: 1590545052:0;https://www.youtube.com/watch?v=la3PJWuPpjg
: 1590549386:0;v defaults
: 1590591643:0;v russel
: 1590601051:0;v TODO.md
: 1590605053:0;https://www.youtube.com/watch?v=OpeWhlEsmbo
: 1590611174:0;rm TODO.md
: 1590619331:0;git acm "SUBS: removed some clutter."
: 1590623539:0;git acm "sentences and words working"
: 1590632433:0;kris
: 1590632439:0;v kris
: 1590686473:0;v rich
: 1590687445:0;v krauss
: 1590691733:0;chmod u+x word_class.rb
: 1590691751:0;word_class.rb
: 1590691758:0;word_class
: 1590691771:0;./word_class.rb
: 1590700472:0;kill -9 24748
: 1590700478:0;kill -9 24792
: 1590700486:0;kill -9 25905
: 1590700491:0;kill -9 26150
: 1590708577:0;kill -9 27178
: 1590713722:0;ruby word_class.rb
: 1590757129:0;v tamsin
: 1590796405:0;v lindsey
: 1590873117:0;git acm "ADDED: subs - class for the document"
: 1590880895:0;git acm "REFACTORING: status - working. document class, adding methods"
: 1590881640:0;https://www.youtube.com/watch?v=XtASPBORwQk&t=146s
: 1590932508:0;v amazon chat.md
: 1590932537:0;v amazon-chat.md
: 1590932545:0;rm amazon
: 1590946534:0;kill -9 35656
: 1590978523:0;git acm "clean up"
: 1590978535:0;git co 82f1a0e
: 1590978556:0;git co master
: 1591016249:0;kill -9 38807
: 1591028442:0;brew cask install chrome
: 1591033592:0;youtube-dl "https://www.youtube.com/watch?v=26yS4U6E7UE&list=PLRpoXv9xf21pO6ZpWaZy8TjFxbx64xpgu"
: 1591420650:0;kill -9
: 1591420657:0;kill -9 84177
: 1591447271:0;git clone git@github.com:shadow-chasing/dai
: 1591447291:0;git clone git@github.com:shadow-chasing/daily_log.git
: 1591447316:0;bundle install --path vendor/bundle
: 1591450686:0;f always
: 1591461734:0;wordy adjective-negative
: 1591461758:0;adjective-negative wordy
: 1591461970:0;v adjective-posative
: 1591462078:0;v adjective-negative
: 1591467068:0;v adverb-manner
: 1591478141:0;ps j | kill -9 vim
: 1591478886:0;pkill -f vim
: 1591478912:0;ps j
: 1591478982:0;pkill -fU vim
: 1591478988:0;pkill -fU
: 1591478994:0;pkill -U
: 1591479077:0;pkill -n vim
: 1591479095:0;ps | pkill -U
: 1591479107:0;ps | pkill -U vim
: 1591479158:0;ps | pkill -x vim
: 1591479168:0;ps | pkill -f vim
: 1591479182:0;kill -9 87151
: 1591480665:0;man killall
: 1591481037:0;pkill -o
: 1591481055:0;pkill -n
: 1591481334:0;pkill -x vim
: 1591491863:0;v sub
: 1591493611:0;v word_class.rb
: 1591493745:0;git acm "subs: added posative words and negative words"
: 1591534300:0;rm word_class.rb
: 1591534389:0;kill -9 90089
: 1591534414:0;rm \'
: 1591539641:0;git cm "update: vimrc file. added a blacklist and removed word_class"
: 1591539659:0;git t
: 1591540492:0;comited-branches
: 1591540512:0;commited-branches
: 1591540740:0;git acm"tester"
: 1591540747:0;git acm "tester"
: 1591540772:0;git commited-branches
: 1591540877:0;git staged
: 1591541478:0;tree L
: 1591557380:0;mv blacklist ~/Downloads/Youtube_Subtitles/Data
: 1591557568:0;sudo launchctl load -w /System/Library/LaunchDaemons/com.apple.locate.plist
: 1591557748:0;ps -eo 'tty,pid,comm' | grep ^?
: 1591557778:0;locate blacklist
: 1591558000:0;pwd | locate
: 1591558021:0;locate $(PWD)
: 1591558032:0;locate $(PWD) blacklist
: 1591558105:0;locate size
: 1591558129:0;locate . size
: 1591558183:0;find -name $(PWD)/blacklist
: 1591558274:0;locate -i blacklist
: 1591558552:0;find . -type f -exec mv '{}' '{}'.md \;
: 1591558936:0;t test
: 1591558939:0;t teser
: 1591558943:0;t tuff
: 1591558959:0;re-all txt
: 1591560077:0;re-all rb
: 1591560133:0;v re-all
: 1591560365:0;echo $(PWD)/blacklist
: 1591560534:0;find . -name "blacklist"
: 1591560544:0;find . -name "blacklist.md"
: 1591560700:0;find . -type f -name "blacklist.md"
: 1591560760:0;find . -type d -name "scratch"
: 1591560774:0;find . -type d -name "Scratch"
: 1591561069:0;for file in *.md; do \
mv -- "$file" "${file%%.md}"\
done
: 1591561178:0;mv re-all add-extension
: 1591561226:0;cp add-extension remove-extension
: 1591561455:0;remove-extension rb
: 1591561472:0;remove-extension txt
: 1591561492:0;add-extension rb
: 1591561544:0;man lacate
: 1591561711:0;locate $(PWD)/blacklist
: 1591561737:0;locate -d $HOME
: 1591561779:0;man locate
: 1591564089:0;v blacklist
: 1591566982:0;git acm "UPDATE: small zsh function to add and remove extentions from group files. alias git for g. moved blacklist to data directory."
: 1591566992:0;g staged
: 1591567082:0;g commited
: 1591567889:0;tree -a
: 1591567938:0;tree -f
: 1591567991:0;tree -list -d
: 1591567998:0;tree list -d
: 1591568008:0;tree -d .
: 1591568014:0;tree --d .
: 1591568018:0;tree --d
: 1591568077:0;tree -d
: 1591568186:0;tree -dL 1
: 1591569069:0;Gdiff 757ad58:subs.rb
: 1591569189:0;git diff 757ad58 subs.rb
: 1591578526:0;pkill safari
: 1591578731:0;p_kill vim
: 1591578797:0;v p_kill
: 1591580068:0;rm p_kill
: 1591580752:0;killall vim
: 1591581261:0;ps -G
: 1591581268:0;ps -G vim
: 1591624910:0;kill -9 10797
: 1591624920:0;kill -9 10798
: 1591624937:0;kill -9 10796
: 1591625361:0;pgrep -l vim
: 1591625936:0;jobs -p
: 1591625993:0;kill $(pgrep vim)
: 1591626003:0;kill -9 $(pgrep vim)
: 1591627186:0;v remove-extension
: 1591627430:0;any vim G pid
: 1591630795:0;git log
: 1591631629:0;echo $USER
: 1591631926:0;ps vim
: 1591632022:0;ps -uax
: 1591632027:0;ps -aux
: 1591632052:0;ps -a
: 1591632126:0;ps -f
: 1591632535:0;pgrep vim | ps -fjp
: 1591632542:0;pgrp vim
: 1591632748:0;ps -fjp 15591
: 1591632754:0;ps -fjp
: 1591633056:0;ps -fjp $(pgrep vim)
: 1591633677:0;h ps
: 1591633756:0;any launchd
: 1591633778:0;any /sbin/launchd
: 1591633785:0;pgrep /sbin/launchd
: 1591634081:0;any_1 vim G vim
: 1591634557:0;any_1 -zsh
: 1591634562:0;any_1 zsh
: 1591634682:0;any_1 login
: 1591634703:0;h G $(\
\
q\
)
: 1591634888:0;ps -fjp $(pgrep login) | grep -i
: 1591635025:0;ps -jp $(pgrep login) | grep -i login
: 1591635480:0;vv
: 1591635670:0;any_1 vim
: 1591635679:0;v any_1
: 1591635734:0;rm any_1
: 1591635808:0;any vim A 'print $@'
: 1591636077:0;any vim A '{print $2}'
: 1591636416:0;v teser.txt
: 1591636506:0;dup test.txt tester.txt
: 1591636516:0;ndup test.txt tester.txt
: 1591636972:0;wordy T 5
: 1591636976:0;wordy T -5
: 1591636984:0;wordy H -5
: 1591637101:0;ps -fjp $(pgrep login) | grep -i login
: 1591637109:0;ps -fjp $(pgrep login)
: 1591637132:0;ps -fjp $(pgrep login) G login
: 1591637257:0;ps -fjp $(pgrep login) G login A '{print $2}'
: 1591637273:0;ps -fjp $(pgrep login) A '{print $2}'
: 1591637422:0;ps -fjp $(pgrep login) A '{print $2}' G -v [A-Z]
: 1591637432:0;ps -fjp $(pgrep login) A '{print $2}' G -V [A-Z]
: 1591637438:0;ps -fjp $(pgrep login) A '{print $2}' G -V "[A-Z]"
: 1591637448:0;ps -fjp $(pgrep login) A '{print $2}' G -v "[A-Z]"
: 1591637470:0;ps -fjp $(pgrep login) A '{print $2}' G "[0-9]"
: 1591637520:0;pgrep login
: 1591637623:0;ps -fjp vim
: 1591637630:0;ps -fj
: 1591637754:0;ps -au$USER G vim
: 1591637877:0;pkill vim
: 1591638064:0;gcm
: 1591638133:0;gcm "updated som functions for zsh"
: 1591638918:0;print -l -- ${(o)history%% *} | uniq -c | sort -nr | head -n 10 :
: 1591638934:0;print -l -- ${(o)history%% *} | uniq -c | sort -nr H -n 10 :
: 1591638943:0;print -l -- ${(o)history%% *} | uniq -c | sort -nr
: 1591639412:0;print -l -- ${(o)history%% *} | uniq -c | sort -nr H -n 10
: 1591639461:0;git rev-parse --verify
: 1591640456:0;git rev-list
: 1591640492:0;git rev-list orgin/master
: 1591640505:0;git rev-list orgin master
: 1591640511:0;git rev-list master
: 1591640539:0;git rev-list orgin/master..HEAD
: 1591640548:0;git rev-list master..HEAD
: 1591640627:0;git l origin/master..HEAD
: 1591640639:0;git log origin/master..HEAD
: 1591640705:0;git committed
: 1591640713:0;git commited
: 1591640888:0;git cherry -v
: 1591641196:0;git cherry -v C
: 1591641447:0;gs -sb
: 1591641479:0;git branch
: 1591641498:0;gcob rollback
: 1591641536:0;gacm "small changes"
: 1591642016:0;g -la
: 1591642019:0;g la
: 1591642043:0;gll
: 1591642614:0;git new
: 1591642853:0;g branch G "\*"
: 1591642896:0;g branch G "\*" G -v "\*"
: 1591642918:0;g branch G "\*" G "\*"
: 1591642952:0;g branch G "\*" A {'print $2' }
: 1591643069:0;git acm"testing"
: 1591643079:0;git acm "testing"
: 1591643124:0;g branch G "\*" A '{print $2}'
: 1591643730:0;GT
: 1591644643:0;git co rollback
: 1591644988:0;gacm "adding git ps1 commits"
: 1591645257:0;git rev-list --left-right --count origin/master...@ A '{print $2}'
: 1591646612:0;guns
